site_id,year,date,lon,lat,latin,presence
finsync_nrs_nc-10049,2013,9/22/2013,-77.96322,34.58249,Gambusia holbrooki,1
finsync_nrs_nc-10049,2013,9/22/2013,-77.96322,34.58249,Lepomis gulosus,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Ambloplites rupestris,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Cottus bairdii,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Cyprinella galactura,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Etheostoma blennioides,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Hypentelium nigricans,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Ichthyomyzon greeleyi,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Lepomis auritus,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Lepomis cyanellus,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Lepomis macrochirus,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Luxilus coccogenis,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Micropterus salmoides,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Moxostoma erythrurum,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Nocomis micropogon,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Notropis leuciodus,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Notropis spectrunculus,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Perca flavescens,1
finsync_nrs_nc-10052,2019,8/14/2019,-84.02452301,35.06056645,Semotilus atromaculatus,1
finsync_nrs_nc-10062,2013,7/18/2013,-80.7245,35.39708,Cyprinella chloristia,1
finsync_nrs_nc-10062,2013,7/18/2013,-80.7245,35.39708,Etheostoma olmstedi,1
